model,stim,class,n,first,last,last3,max,ratio_last_first,content_filter,refusal,shape
deepseek-v3.2,again,imperative,3,260,505,499,1593,1.94,0,0,flat/other
deepseek-v3.2,asdf,degenerate,3,154,147,116,1071,0.95,0,0,flat/other
deepseek-v3.2,boom,known,3,209,536,491,1710,2.57,0,0,escalate
deepseek-v3.2,continue,imperative,3,309,1994,1691,5719,6.46,0,0,escalate
deepseek-v3.2,ellipsis,degenerate,3,128,1195,1457,5266,9.34,0,0,escalate
deepseek-v3.2,fire,degenerate,3,86,1326,1100,4648,15.47,0,0,escalate
deepseek-v3.2,hello,filler,3,111,212,265,1019,1.91,0,0,flat/other
deepseek-v3.2,help,emotional,3,467,731,1043,3557,1.57,0,0,flat/other
deepseek-v3.2,more,imperative,3,127,325,294,1825,2.57,0,0,escalate
deepseek-v3.2,no,emotional,3,64,43,23,202,0.68,0,0,flat/other
deepseek-v3.2,ok,filler,3,62,362,452,2489,5.88,0,0,escalate
deepseek-v3.2,please,emotional,3,151,339,325,2585,2.25,0,0,escalate
deepseek-v3.2,qmark,degenerate,3,251,7344,6599,15642,29.3,0,0,escalate
deepseek-v3.2,sorry,emotional,3,99,255,267,714,2.59,0,0,escalate
deepseek-v3.2,speak,known,3,58,328,331,2334,5.66,0,0,escalate
deepseek-v3.2,stop,imperative,3,72,18,33,300,0.25,0,0,disengage
deepseek-v3.2,what_q,question,3,211,311,369,727,1.48,0,0,flat/other
deepseek-v3.2,whoareyou,question,3,219,87,118,674,0.4,0,0,flat/other
deepseek-v3.2,why,emotional,3,329,412,492,1397,1.25,0,0,flat/other
deepseek-v3.2,yes,emotional,3,35,4039,3820,13401,114.31,0,0,escalate
gemini-3.5-flash,again,imperative,3,537,457,457,1374,0.85,0,0,flat/other
gemini-3.5-flash,asdf,degenerate,3,112,9,11,641,0.08,0,0,disengage
gemini-3.5-flash,boom,known,3,88,27,40,480,0.31,0,0,disengage
gemini-3.5-flash,continue,imperative,3,102,303,535,3200,2.98,0,0,escalate
gemini-3.5-flash,ellipsis,degenerate,3,176,546,712,4261,3.11,0,0,escalate
gemini-3.5-flash,fire,degenerate,3,104,545,873,2503,5.26,0,0,escalate
gemini-3.5-flash,hello,filler,3,87,82,88,375,0.94,0,0,flat/other
gemini-3.5-flash,help,emotional,3,717,549,651,2678,0.77,0,0,flat/other
gemini-3.5-flash,more,imperative,3,124,3707,4133,12583,29.81,0,0,escalate
gemini-3.5-flash,no,emotional,3,48,9,4,94,0.2,0,0,disengage
gemini-3.5-flash,ok,filler,3,95,31,73,2219,0.33,0,0,disengage
gemini-3.5-flash,please,emotional,3,128,711,1056,4741,5.57,0,0,escalate
gemini-3.5-flash,qmark,degenerate,3,504,217,120,1431,0.43,0,0,flat/other
gemini-3.5-flash,sorry,emotional,3,83,41,53,264,0.49,0,0,disengage
gemini-3.5-flash,speak,known,3,146,334,197,4807,2.29,0,0,escalate
gemini-3.5-flash,stop,imperative,3,151,5,6,194,0.03,0,0,disengage
gemini-3.5-flash,what_q,question,3,267,115,111,456,0.43,0,0,flat/other
gemini-3.5-flash,whoareyou,question,3,229,49,49,284,0.21,0,0,disengage
gemini-3.5-flash,why,emotional,3,166,90,106,684,0.54,0,0,flat/other
gemini-3.5-flash,yes,emotional,3,60,781,884,2870,12.94,0,0,escalate
